Hour,Gross Sales,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Month,date,Year
12,60.46,0,0,1,0,0,0,0,1,12,2019
13,119.58,0,0,1,0,0,0,0,1,12,2019
14,24.95,0,0,1,0,0,0,0,1,12,2019
15,74.32,0,0,1,0,0,0,0,1,12,2019
16,174.92,0,0,1,0,0,0,0,1,12,2019
17,116.4,0,0,1,0,0,0,0,1,12,2019
18,70.02,0,0,1,0,0,0,0,1,12,2019
19,124.62,0,0,1,0,0,0,0,1,12,2019
20,141.63,0,0,1,0,0,0,0,1,12,2019
21,246.32,0,0,1,0,0,0,0,1,12,2019
22,55.73,0,0,1,0,0,0,0,1,12,2019
23,19.6,0,0,1,0,0,0,0,1,12,2019
0,32.68,0,0,0,1,0,0,0,1,13,2019
1,16.29,0,0,0,1,0,0,0,1,13,2019
9,2.99,0,0,0,1,0,0,0,1,13,2019
12,29.55,0,0,0,1,0,0,0,1,13,2019
13,108.31,0,0,0,1,0,0,0,1,13,2019
14,84.77,0,0,0,1,0,0,0,1,13,2019
15,103.38,0,0,0,1,0,0,0,1,13,2019
16,101.38,0,0,0,1,0,0,0,1,13,2019
17,48.64,0,0,0,1,0,0,0,1,13,2019
18,98.53,0,0,0,1,0,0,0,1,13,2019
19,29.61,0,0,0,1,0,0,0,1,13,2019
20,85.52,0,0,0,1,0,0,0,1,13,2019
21,23.53,0,0,0,1,0,0,0,1,13,2019
22,45.39,0,0,0,1,0,0,0,1,13,2019
23,9.45,0,0,0,1,0,0,0,1,13,2019
10,1,0,1,0,0,0,0,0,1,14,2019
12,14.43,0,1,0,0,0,0,0,1,14,2019
13,46.56,0,1,0,0,0,0,0,1,14,2019
14,24.37,0,1,0,0,0,0,0,1,14,2019
15,42.11,0,1,0,0,0,0,0,1,14,2019
16,29.04,0,1,0,0,0,0,0,1,14,2019
17,32.77,0,1,0,0,0,0,0,1,14,2019
18,39.07,0,1,0,0,0,0,0,1,14,2019
19,13.3,0,1,0,0,0,0,0,1,14,2019
20,29.64,0,1,0,0,0,0,0,1,14,2019
21,67.5,0,1,0,0,0,0,0,1,14,2019
22,20.02,0,1,0,0,0,0,0,1,14,2019
23,18.68,0,1,0,0,0,0,0,1,14,2019
12,33.96,0,0,0,0,0,1,0,1,15,2019
13,31.96,0,0,0,0,0,1,0,1,15,2019
14,12.53,0,0,0,0,0,1,0,1,15,2019
15,75.43,0,0,0,0,0,1,0,1,15,2019
16,61.14,0,0,0,0,0,1,0,1,15,2019
17,40.02,0,0,0,0,0,1,0,1,15,2019
18,27.58,0,0,0,0,0,1,0,1,15,2019
19,48.29,0,0,0,0,0,1,0,1,15,2019
